rank,star,status,status_datetime,officer_id,trr_id
SERGEANT,2583.0,,2016-04-18 03:59:00-05:00,17490,96540
LIEUTENANT,330.0,,2016-04-18 04:08:00-05:00,27736,96540
OFFICER,19328.0,,2016-04-18 08:12:00-05:00,5571,96545
SERGEANT,1794.0,,2016-04-18 08:20:00-05:00,20385,96545
LIEUTENANT,628.0,,2016-04-18 09:56:00-05:00,29181,96545
OFFICER,5968.0,,2016-04-18 10:47:00-05:00,16291,96546
SERGEANT,1068.0,,2016-04-18 11:06:00-05:00,4636,96546
LIEUTENANT,183.0,,2016-04-19 12:26:00-05:00,20125,96546
OFFICER,6245.0,,2016-04-19 01:10:00-05:00,9322,96547
SERGEANT,1182.0,,2016-04-19 01:20:00-05:00,5204,96547
LIEUTENANT,183.0,,2016-04-19 01:29:00-05:00,20125,96547
OFFICER,7917.0,,2016-04-19 02:14:00-05:00,12049,96548
SERGEANT,2029.0,,2016-04-19 02:15:00-05:00,31030,96548
LIEUTENANT,586.0,,2016-04-19 03:08:00-05:00,22077,96548
OFFICER,15583.0,,2016-04-19 04:27:00-05:00,13574,96549
SERGEANT,1811.0,,2016-04-19 04:52:00-05:00,14245,96549
LIEUTENANT,330.0,,2016-04-19 05:12:00-05:00,27736,96549
OFFICER,15701.0,,2016-04-19 05:18:00-05:00,14278,96550
SERGEANT,2138.0,,2016-04-19 05:25:00-05:00,19021,96550
LIEUTENANT,376.0,,2016-04-19 08:50:00-05:00,18259,96550
OFFICER,14867.0,,2016-04-19 08:41:00-05:00,4568,96551
SERGEANT,2138.0,,2016-04-19 08:42:00-05:00,19021,96551
LIEUTENANT,376.0,,2016-04-19 08:51:00-05:00,18259,96551
OFFICER,6211.0,,2016-04-19 11:28:00-05:00,9281,96552
SERGEANT,1015.0,,2016-04-19 11:32:00-05:00,24425,96552
LIEUTENANT,261.0,,2016-04-19 12:54:00-05:00,11904,96552
OFFICER,13218.0,,2016-04-19 11:29:00-05:00,13752,96553
SERGEANT,1015.0,,2016-04-19 11:33:00-05:00,24425,96553
LIEUTENANT,261.0,,2016-04-19 12:53:00-05:00,11904,96553
OFFICER,12078.0,,2016-04-19 02:27:00-05:00,24679,96554
SERGEANT,1733.0,,2016-04-19 02:29:00-05:00,8698,96554
LIEUTENANT,212.0,,2016-04-19 02:50:00-05:00,30835,96554
OFFICER,13663.0,,2016-04-19 02:27:00-05:00,14103,96555
SERGEANT,1733.0,,2016-04-19 02:29:00-05:00,8698,96555
LIEUTENANT,212.0,,2016-04-19 02:48:00-05:00,30835,96555
